Negara,Tahun,GDP_Nominal,Unemployment,FDI_Net_Inflows,Inflation
Australia,2013,68190.701,5.663,54472699004,2.449888641
Australia,2014,62544.08738,6.078,63204516348,2.487922705
Australia,2015,56739.02653,6.055,46892808568,1.508366722
Australia,2016,49888.04108,5.711,42970225978,1.276990945
Australia,2017,53901.71454,5.592,48199372040,1.948647409
Australia,2018,57196.42208,5.3,60686639530,1.911400944
Australia,2019,54972.70179,5.159,38745129661,1.610767873
Australia,2020,51791.54018,6.456,17976843681,0.846905537
Australia,2021,60607.77886,5.116,31518948093,2.863910422
Australia,2022,64997.01365,3.728,70364982117,6.594096713
China,2013,7147.035186,4.6,2.91E+11,2.621050017
China,2014,7781.065975,4.63,2.68E+11,1.921641628
China,2015,8175.332851,4.65,2.42E+11,1.437023809
China,2016,8254.868593,4.56,1.75E+11,2.000001822
China,2017,8979.676527,4.47,1.66E+11,1.593136001
China,2018,10085.66381,4.31,2.35E+11,2.0747904
China,2019,10342.90095,4.56,1.87E+11,2.899234164
China,2020,10627.4638,5,2.53E+11,2.419421895
China,2021,12887.43572,4.55,3.44E+11,0.981015136
China,2022,12970.60564,4.98,1.90E+11,1.973575557
Indonesia,2013,3566.602845,4.336,23281742362,6.412513302
Indonesia,2014,3441.068085,4.049,25120732060,6.394925408
Indonesia,2015,3288.222697,4.514,19779127977,6.363121131
Indonesia,2016,3521.469435,4.301,4541713739,3.525805157
Indonesia,2017,3798.883262,3.783,20510310832,3.80879807
Indonesia,2018,3860.953531,4.387,18909826044,3.198346416
Indonesia,2019,4106.948562,3.59,24993551748,3.03058665
Indonesia,2020,3853.702888,4.255,19175077748,1.920968006
Indonesia,2021,4287.17314,3.827,21213080330,1.560129905
Indonesia,2022,4730.834848,3.462,24702029705,4.209463834
India,2013,1432.843975,7.711,28153031270,10.01787847
India,2014,1553.883961,7.674,34576643694,6.665656719
India,2015,1583.998159,7.631,44009492130,4.906973441
India,2016,1707.508929,7.601,44458571546,4.948216341
